Id,Category
0001,8
0002,8
0003,3
0004,3
0005,8
0006,8
0007,3
0008,8
0009,8
0010,7
0011,7
0012,7
0013,3
0014,7
0015,7
0016,6
0017,3
0018,6
0019,8
0020,3
0021,3
0022,7
0023,8
0024,7
0025,8
0026,7
0027,7
0028,7
0029,6
0030,8
0031,7
0032,7
0033,7
0034,7
0035,7
0036,8
0037,8
0038,7
0039,8
0040,7
0041,8
0042,8
0043,7
0044,3
0045,8
0046,8
0047,8
0048,8
0049,8
0050,3
0051,7
0052,7
0053,8
0054,8
0055,7
0056,7
0057,7
0058,6
0059,8
0060,7
0061,8
0062,8
0063,7
0064,8
0065,8
0066,8
0067,7
0068,8
0069,8
0070,6
0071,7
0072,3
0073,7
0074,8
0075,8
0076,7
0077,3
0078,3
0079,3
0080,7
0081,7
0082,7
0083,6
0084,8
0085,8
0086,3
0087,8
0088,8
0089,7
0090,7
0091,8
0092,3
0093,7
0094,8
0095,7
0096,7
0097,8
0098,7
0099,7
0100,3
0101,7
0102,7
0103,3
0104,3
0105,3
0106,7
0107,7
0108,8
0109,7
0110,7
0111,3
0112,7
0113,7
0114,3
0115,3
0116,3
0117,7
0118,3
0119,7
0120,3
0121,3
0122,3
0123,7
0124,7
0125,8
0126,8
0127,8
0128,8
0129,8
0130,8
0131,3
0132,8
0133,8
0134,6
0135,7
0136,8
0137,8
0138,7
0139,8
0140,8
0141,7
0142,7
0143,7
0144,7
0145,7
0146,8
0147,7
0148,7
0149,6
0150,3
0151,8
0152,7
0153,7
0154,3
0155,8
0156,8
0157,3
0158,8
0159,8
0160,8
0161,7
0162,7
0163,8
0164,7
0165,8
0166,7
0167,7
0168,7
0169,7
0170,8
0171,7
0172,7
0173,7
0174,8
0175,7
0176,6
0177,7
0178,7
0179,3
0180,7
0181,8
0182,8
0183,8
0184,6
0185,7
0186,7
0187,3
0188,7
0189,3
0190,7
0191,8
0192,7
0193,8
0194,7
0195,7
0196,8
0197,3
0198,8
0199,7
0200,7
0201,7
0202,7
0203,7
0204,7
0205,7
0206,8
0207,3
0208,7
0209,8
0210,8
