Id,Category
0001,8
0002,8
0003,7
0004,8
0005,8
0006,8
0007,8
0008,8
0009,8
0010,8
0011,8
0012,8
0013,7
0014,7
0015,8
0016,8
0017,8
0018,8
0019,8
0020,8
0021,8
0022,7
0023,8
0024,7
0025,8
0026,8
0027,7
0028,8
0029,8
0030,8
0031,7
0032,7
0033,7
0034,8
0035,7
0036,8
0037,8
0038,7
0039,8
0040,7
0041,8
0042,8
0043,7
0044,7
0045,8
0046,8
0047,8
0048,8
0049,7
0050,7
0051,8
0052,7
0053,8
0054,8
0055,7
0056,7
0057,8
0058,7
0059,8
0060,7
0061,8
0062,8
0063,8
0064,8
0065,7
0066,8
0067,8
0068,8
0069,8
0070,8
0071,8
0072,7
0073,8
0074,8
0075,8
0076,8
0077,8
0078,7
0079,7
0080,7
0081,7
0082,7
0083,8
0084,8
0085,8
0086,8
0087,8
0088,7
0089,7
0090,7
0091,7
0092,8
0093,8
0094,7
0095,7
0096,7
0097,8
0098,7
0099,8
0100,7
0101,7
0102,7
0103,7
0104,8
0105,7
0106,7
0107,7
0108,8
0109,8
0110,7
0111,8
0112,7
0113,7
0114,8
0115,7
0116,7
0117,7
0118,8
0119,7
0120,8
0121,7
0122,7
0123,8
0124,8
0125,8
0126,8
0127,8
0128,8
0129,7
0130,8
0131,7
0132,8
0133,8
0134,7
0135,7
0136,8
0137,8
0138,8
0139,8
0140,8
0141,7
0142,7
0143,7
0144,8
0145,7
0146,8
0147,8
0148,8
0149,8
0150,7
0151,8
0152,7
0153,8
0154,7
0155,8
0156,8
0157,8
0158,8
0159,8
0160,8
0161,7
0162,7
0163,8
0164,7
0165,7
0166,7
0167,8
0168,7
0169,8
0170,8
0171,8
0172,7
0173,8
0174,8
0175,8
0176,7
0177,8
0178,7
0179,7
0180,8
0181,8
0182,8
0183,8
0184,8
0185,8
0186,8
0187,8
0188,7
0189,8
0190,7
0191,8
0192,8
0193,8
0194,8
0195,8
0196,8
0197,7
0198,7
0199,8
0200,8
0201,8
0202,7
0203,8
0204,8
0205,7
0206,8
0207,7
0208,8
0209,8
0210,8
